"multiplier","LotNr","Allocate","EstValue","StartPrice","Followers","Bank","Dealer","Liquidator","Volunteer","LotsSale","LotsCtgry","Forced","SP.EV","Duration","Morning","Evening","Afternoon"
1.3,6,0,700,400,19,0,1,0,0,1177,436,0,0.571428571,67,0,1,0
0.616666667,7,0,600,350,12,0,1,0,0,1177,436,0,0.583333333,67,0,1,0
0.6,9,0,1500,600,19,0,1,0,0,1177,436,0,0.4,67,0,1,0
0.833333333,10,0,300,150,20,0,1,0,0,1177,436,0,0.5,67,0,1,0
0.6,11,0,500,300,9,0,1,0,0,1177,436,0,0.6,68,0,1,0
0.708333333,12,0,1200,800,16,0,1,0,0,1177,436,0,0.666666667,68,0,1,0
2.25,14,0,600,400,19,0,1,0,0,1177,28,0,0.666666667,68,0,1,0
0.533333333,15,0,75,40,4,0,1,0,0,1177,436,0,0.533333333,65,0,0,1
0.533333333,16,0,75,40,2,0,1,0,0,1177,436,0,0.533333333,65,0,0,1
0.533333333,17,0,75,40,4,0,1,0,0,1177,436,0,0.533333333,65,0,0,1
0.533333333,18,0,75,40,3,0,1,0,0,1177,436,0,0.533333333,65,0,0,1
0.533333333,19,0,75,40,3,0,1,0,0,1177,436,0,0.533333333,65,0,0,1
0.625,20,0,40,25,2,0,1,0,0,1177,436,0,0.625,65,0,0,1
1.228571429,21,0,350,200,24,0,1,0,0,1177,436,0,0.571428571,64,0,0,1
1.228571429,22,0,350,200,21,0,1,0,0,1177,436,0,0.571428571,64,0,0,1
0.942857143,23,0,350,200,21,0,1,0,0,1177,436,0,0.571428571,64,0,0,1
0.942857143,24,0,350,200,21,0,1,0,0,1177,436,0,0.571428571,64,0,0,1
0.942857143,25,0,350,200,20,0,1,0,0,1177,436,0,0.571428571,64,0,0,1
0.45,26,0,200,50,9,0,1,0,0,1177,436,0,0.25,64,0,0,1
0.35,27,0,200,50,7,0,1,0,0,1177,436,0,0.25,64,0,0,1
0.275,28,0,200,50,7,0,1,0,0,1177,436,0,0.25,64,0,0,1
0.8,29,0,150,80,10,0,1,0,0,1177,436,0,0.533333333,64,0,0,1
0.857142857,30,0,140,70,9,0,1,0,0,1177,436,0,0.5,64,0,0,1
0.571428571,31,0,140,70,7,0,1,0,0,1177,436,0,0.5,64,0,0,1
1.5,32,0,20,10,7,0,1,0,0,1177,331,0,0.5,62,0,0,1
1.75,33,0,20,10,12,0,1,0,0,1177,331,0,0.5,63,0,0,1
0.9,34,0,20,10,8,0,1,0,0,1177,331,0,0.5,63,0,0,1
1.5,35,0,20,10,13,0,1,0,0,1177,331,0,0.5,63,0,0,1
0.8,36,0,20,10,8,0,1,0,0,1177,331,0,0.5,63,0,0,1
0.6,37,0,20,10,3,0,1,0,0,1177,331,0,0.5,63,0,0,1
2.25,38,0,20,10,15,0,1,0,0,1177,436,0,0.5,65,0,0,1
0.5,39,0,20,10,4,0,1,0,0,1177,153,0,0.5,68,0,1,0
0.75,40,0,60,40,5,0,1,0,0,1177,153,0,0.666666667,68,0,1,0
0.666666667,41,0,60,40,3,0,1,0,0,1177,153,0,0.666666667,68,0,1,0
0.666666667,42,0,60,40,3,0,1,0,0,1177,153,0,0.666666667,68,0,1,0
0.666666667,43,0,60,40,3,0,1,0,0,1177,153,0,0.666666667,68,0,1,0
0.714285714,45,0,175,125,6,0,1,0,0,1177,436,0,0.714285714,64,0,0,1
0.771428571,46,0,175,125,8,0,1,0,0,1177,436,0,0.714285714,64,0,0,1
0.771428571,47,0,175,125,8,0,1,0,0,1177,436,0,0.714285714,64,0,0,1
0.725,48,0,200,140,6,0,1,0,0,1177,436,0,0.7,64,0,0,1
0.7,49,0,200,140,9,0,1,0,0,1177,436,0,0.7,64,0,0,1
1.066666667,50,0,15,10,14,0,1,0,0,1177,436,0,0.666666667,64,0,0,1
0.8,51,0,15,10,12,0,1,0,0,1177,436,0,0.666666667,64,0,0,1
1.466666667,52,0,15,10,13,0,1,0,0,1177,436,0,0.666666667,64,0,0,1
0.7,53,0,100,70,3,0,1,0,0,1177,153,0,0.7,68,0,1,0
0.933333333,58,0,150,100,8,0,1,0,0,1177,436,0,0.666666667,64,0,0,1
0.583333333,59,0,120,70,7,0,1,0,0,1177,436,0,0.583333333,64,0,0,1
0.735294118,60,0,170,125,7,0,1,0,0,1177,436,0,0.735294118,65,0,0,1
0.735294118,61,0,170,125,5,0,1,0,0,1177,436,0,0.735294118,65,0,0,1
0.625,62,0,200,125,6,0,1,0,0,1177,436,0,0.625,65,0,0,1
0.625,63,0,200,125,8,0,1,0,0,1177,436,0,0.625,65,0,0,1
0.675,64,0,200,125,9,0,1,0,0,1177,436,0,0.625,65,0,0,1
0.7,65,0,200,125,8,0,1,0,0,1177,436,0,0.625,65,0,0,1
0.666666667,68,0,60,40,3,0,1,0,0,1177,436,0,0.666666667,65,0,0,1
0.625,69,0,80,50,4,0,1,0,0,1177,153,0,0.625,68,0,1,0
0.625,70,0,80,50,4,0,1,0,0,1177,153,0,0.625,68,0,1,0
0.5,71,0,80,40,4,0,1,0,0,1177,153,0,0.5,68,0,1,0
